Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 828 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-11 08:30:30
Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 828 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-11 08:30:32
Name : trumlangvo đã tách vật phẩm || Vật phẩm tách: 539 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-11 08:37:11
Name : zzonehitzz đã tách vật phẩm || Vật phẩm tách: 539 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-11 08:41:16
Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 9000 và 1000|| Thời gian tách : 2022-06-11 08:48:12
Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 10000 || Số lượng tách: 1500 || Số lượng vật phẩm sau khi tách: 8500 và 1500|| Thời gian tách : 2022-06-11 08:48:28
Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10000 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 8000 và 2000|| Thời gian tách : 2022-06-11 08:48:31
Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 10000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 9000 và 1000|| Thời gian tách : 2022-06-11 08:53:42
Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 10000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 9000 và 1000|| Thời gian tách : 2022-06-11 08:53:57
Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 9000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 8000 và 1000|| Thời gian tách : 2022-06-11 08:57:18
Name : kokanbiet đã tách vật phẩm || Vật phẩm tách: 539 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-11 09:04:09
Name : tieubadao đã tách vật phẩm || Vật phẩm tách: 539 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-11 10:27:50
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1000 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 999 và 1|| Thời gian tách : 2022-06-11 10:51:08
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 999 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 998 và 1|| Thời gian tách : 2022-06-11 10:51:10
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 998 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 997 và 1|| Thời gian tách : 2022-06-11 10:51:12
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 997 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 996 và 1|| Thời gian tách : 2022-06-11 10:51:15
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 996 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 994 và 2|| Thời gian tách : 2022-06-11 10:51:17
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 994 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 993 và 1|| Thời gian tách : 2022-06-11 10:51:20
