Name : behangxom đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4305 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 4285 và 20|| Thời gian tách : 2022-06-07 02:21:33
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4285 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 4265 và 20|| Thời gian tách : 2022-06-07 02:21:35
Name : c1botxusv1 đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 9604 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 8604 và 1000|| Thời gian tách : 2022-06-07 02:21:42
Name : boy007x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 20000 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19900 và 100|| Thời gian tách : 2022-06-07 02:23:40
Name : boy007x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 19900 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19800 và 100|| Thời gian tách : 2022-06-07 02:23:45
Name : boy007x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 19800 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19700 và 100|| Thời gian tách : 2022-06-07 02:23:49
Name : boy007x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 19700 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19600 và 100|| Thời gian tách : 2022-06-07 02:23:55
Name : boy007x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 19600 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19500 và 100|| Thời gian tách : 2022-06-07 02:24:00
Name : boy007x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 19500 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19400 và 100|| Thời gian tách : 2022-06-07 02:24:05
Name : boy007x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 19400 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19300 và 100|| Thời gian tách : 2022-06-07 02:24:09
Name : boy007x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 19300 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19200 và 100|| Thời gian tách : 2022-06-07 02:24:14
